NX,NY,gpu_time,cpu_time
16,16,12.204224,60.853700
16,32,12.412000,139.607648
16,64,12.897760,317.167908
16,128,13.358752,618.802942
16,256,14.394048,1265.517672
16,512,17.813984,2728.133424
16,1024,25.357632,5712.530897
16,2048,19.423519,12220.649126
16,4096,compile_error,compile_error
32,16,12.948416,136.068732
32,32,13.157408,311.646161
32,64,13.325728,708.568504
32,128,13.896576,1392.203243
32,256,16.084543,2856.302310
32,512,20.522177,6121.710783
32,1024,30.514496,13009.812902
32,2048,19.762465,27256.757303
32,4096,compile_error,compile_error
64,16,13.145312,305.878152
64,32,13.383904,696.280763
64,64,13.757568,1547.489793
64,128,15.061344,3069.650690
64,256,17.308064,6292.752616
64,512,23.789888,13470.686567
64,1024,40.018463,28925.959889
64,2048,29.898336,60791.312085
64,4096,compile_error,compile_error
128,16,13.532928,659.101522
128,32,14.057408,1488.024436
128,64,15.060000,3322.294980
128,128,16.867744,6541.115875
128,256,22.367840,13557.036277
128,512,35.020126,29150.674990
128,1024,61.154560,61497.064583
128,2048,54.128513,128685.230553
128,4096,compile_error,compile_error
256,16,14.385152,1507.860516
256,32,14.912448,3152.362706
256,64,17.232927,7002.972345
256,128,22.854784,13915.792869
256,256,33.878494,29048.250249
256,512,55.233410,61445.174887
256,1024,105.181091,127548.620074
256,2048,104.159363,268099.723931
256,4096,compile_error,compile_error
512,16,16.734367,2969.526012
512,32,17.835808,6651.643419
512,64,24.705729,15164.837549
512,128,34.600544,29455.437397
512,256,55.628864,61307.798557
512,512,100.147491,128005.435261
