NX,NY,gpu_time
16,16,12.279872
16,32,12.393088
16,64,12.730912
16,128,12.987328
16,256,14.501568
16,512,17.545984
16,1024,25.390720
16,2048,19.010336
16,4096,compile_error
32,16,12.932736
32,32,12.925920
32,64,13.376320
32,128,13.602464
32,256,15.996768
32,512,20.082336
32,1024,30.577215
32,2048,19.436001
32,4096,compile_error
64,16,12.950848
64,32,13.141440
64,64,13.679744
64,128,15.125696
64,256,16.882208
64,512,23.874464
64,1024,39.348545
64,2048,30.168512
64,4096,compile_error
128,16,13.529152
128,32,13.702240
128,64,15.007776
128,128,16.693600
128,256,22.225151
128,512,35.143070
128,1024,60.110111
128,2048,48.444992
128,4096,compile_error
256,16,13.358656
256,32,13.868896
256,64,15.987776
256,128,21.279680
256,256,31.149887
256,512,50.839169
256,1024,98.751587
256,2048,94.828705
256,4096,compile_error
512,16,15.492672
512,32,16.465599
512,64,22.572895
512,128,31.801632
512,256,51.590206
512,512,93.094017
512,1024,184.572800
512,2048,193.304031
512,4096,compile_error
1024,16,23.782145
1024,32,24.693983
1024,64,39.952576
1024,128,60.074783
1024,256,102.123650
1024,512,189.761948
1024,1024,364.616791
1024,2048,411.033051
1024,4096,compile_error
2048,16,9.839744
2048,32,14.146048
2048,64,25.274336
2048,128,48.879425
2048,256,94.997246
2048,512,179.634369
2048,1024,357.648407
2048,2048,0.543232
2048,4096,compile_error
4096,16,compile_error
4096,32,compile_error
4096,64,compile_error
4096,128,compile_error
4096,256,compile_error
4096,512,compile_error
4096,1024,compile_error
4096,2048,compile_error
4096,4096,compile_error
