NX,NY,gpu_time
16,16,12.271872
16,32,12.414624
16,64,12.721888
16,128,12.947936
16,256,14.478784
16,512,17.641727
16,1024,25.528032
16,2048,19.025473
16,4096,compile_error
16,8192,compile_error
16,16384,compile_error
16,32768,compile_error
32,16,12.948256
32,32,12.899104
32,64,13.370336
32,128,13.467648
32,256,16.069920
32,512,20.436865
32,1024,29.996351
32,2048,19.926847
32,4096,compile_error
32,8192,compile_error
32,16384,compile_error
32,32768,compile_error
64,16,13.100640
64,32,13.204704
64,64,13.685408
64,128,15.193024
64,256,16.959711
64,512,23.695999
64,1024,39.477055
64,2048,30.154848
64,4096,compile_error
64,8192,compile_error
64,16384,compile_error
64,32768,compile_error
128,16,13.510336
128,32,13.649184
128,64,15.060256
128,128,16.514688
128,256,22.406879
128,512,35.094658
128,1024,59.764130
128,2048,52.961376
128,4096,compile_error
128,8192,compile_error
128,16384,compile_error
128,32768,compile_error
256,16,13.681088
256,32,14.291936
256,64,16.499071
256,128,21.844543
256,256,32.259327
256,512,52.652737
256,1024,99.737602
256,2048,95.086945
256,4096,compile_error
256,8192,compile_error
256,16384,compile_error
256,32768,compile_error
512,16,15.427136
512,32,16.516001
512,64,22.623039
512,128,31.712416
512,256,51.707970
512,512,98.520386
512,1024,183.770233
512,2048,193.373795
512,4096,compile_error
512,8192,compile_error
512,16384,compile_error
512,32768,compile_error
1024,16,21.694431
1024,32,23.272352
1024,64,36.889313
1024,128,56.627007
1024,256,96.353790
1024,512,188.954178
1024,1024,366.113068
1024,2048,411.442200
1024,4096,compile_error
1024,8192,compile_error
1024,16384,compile_error
1024,32768,compile_error
2048,16,9.790528
2048,32,14.113920
2048,64,25.159552
2048,128,48.855488
2048,256,94.995842
2048,512,179.650589
2048,1024,357.683990
2048,2048,0.550944
2048,4096,compile_error
2048,8192,compile_error
2048,16384,compile_error
2048,32768,compile_error
4096,16,compile_error
4096,32,compile_error
4096,64,compile_error
4096,128,compile_error
4096,256,compile_error
4096,512,compile_error
4096,1024,compile_error
4096,2048,compile_error
4096,4096,compile_error
4096,8192,compile_error
4096,16384,compile_error
4096,32768,compile_error
8192,16,compile_error
8192,32,compile_error
8192,64,compile_error
8192,128,compile_error
8192,256,compile_error
8192,512,compile_error
8192,1024,compile_error
8192,2048,compile_error
8192,4096,compile_error
8192,8192,compile_error
8192,16384,compile_error
8192,32768,compile_error
16384,16,compile_error
16384,32,compile_error
16384,64,compile_error
16384,128,compile_error
16384,256,compile_error
16384,512,compile_error
16384,1024,compile_error
16384,2048,compile_error
16384,4096,compile_error
16384,8192,compile_error
16384,16384,compile_error
16384,32768,compile_error
32768,16,compile_error
32768,32,compile_error
32768,64,compile_error
32768,128,compile_error
32768,256,compile_error
32768,512,compile_error
32768,1024,compile_error
32768,2048,compile_error
32768,4096,compile_error
32768,8192,compile_error
32768,16384,compile_error
32768,32768,compile_error
