NX,NY,time
16,16,4.750114
16,32,4.716289
16,64,4.711215
16,128,4.710853
16,256,4.711321
16,512,4.712050
16,1024,4.710546
16,2048,4.704673
16,4096,compile_error
32,16,4.828031
32,32,4.793751
32,64,4.788592
32,128,4.788264
32,256,4.788732
32,512,4.789490
32,1024,4.787964
32,2048,4.781997
32,4096,compile_error
64,16,4.866837
64,32,4.832335
64,64,4.827165
64,128,4.826793
64,256,4.827279
64,512,4.828069
64,1024,4.826558
64,2048,4.820467
64,4096,compile_error
128,16,4.886073
128,32,4.851357
128,64,4.846205
128,128,4.845843
128,256,4.846338
128,512,4.847140
128,1024,4.845561
128,2048,4.839463
128,4096,compile_error
256,16,4.894128
256,32,4.859274
256,64,4.854138
256,128,4.853758
256,256,4.854290
256,512,4.855021
256,1024,4.853463
256,2048,4.847350
256,4096,compile_error
512,16,4.895275
512,32,4.860563
512,64,4.855269
512,128,4.854954
512,256,4.855566
512,512,4.856287
512,1024,4.854694
