NX,NY,gpu_ms,cpu_ms
16,16,2.260992,55.017122
16,32,2.208768,125.913705
16,64,2.268160,290.925097
16,128,2.267136,556.710667
16,256,2.205696,1129.765079
16,512,2.221056,2443.811036
16,1024,2.241536,5057.074253
16,2048,2.218592,10834.828163
16,4096,compile_error,compile_error
32,16,2.210816,125.436634
32,32,2.296832,284.286045
32,64,2.236416,647.392750
32,128,2.232320,1253.813389
32,256,2.210816,2578.599528
32,512,2.200576,5474.933457
32,1024,2.209056,11498.753635
32,2048,2.222304,24257.621077
32,4096,compile_error,compile_error
64,16,2.279424,280.944600
64,32,2.215936,636.300835
64,64,2.197504,1401.071902
64,128,2.240512,2751.140722
64,256,2.224128,5657.421273
64,512,2.237344,12074.529811
64,1024,2.250016,25210.472917
64,2048,2.231616,52346.422620
64,4096,compile_error,compile_error
128,16,2.210816,590.752914
128,32,2.309120,1349.858092
128,64,2.242560,3007.055795
128,128,2.224128,5854.508133
128,256,2.224288,11973.330291
128,512,2.266464,25488.653477
128,1024,2.162304,53261.071050
