NX,NY,gpu_time
16,16,11.450368
16,32,11.721248
16,64,12.065600
16,128,12.640288
16,256,13.615808
16,512,16.844543
16,1024,24.434273
16,2048,17.314816
16,4096,27.934273
16,8192,compile_error
16,16384,compile_error
16,32768,compile_error
32,16,12.133600
32,32,12.409984
32,64,12.702112
32,128,13.286624
32,256,14.805408
32,512,18.547680
32,1024,27.645344
32,2048,18.013857
32,4096,29.297152
32,8192,compile_error
32,16384,compile_error
32,32768,compile_error
64,16,12.339328
64,32,12.797248
64,64,13.061984
64,128,13.992000
64,256,15.854080
64,512,21.889536
64,1024,38.362560
64,2048,29.538719
64,4096,52.395103
64,8192,compile_error
64,16384,compile_error
64,32768,compile_error
128,16,12.861760
128,32,13.307136
128,64,13.870912
128,128,15.336608
128,256,19.322336
128,512,31.399744
128,1024,60.260098
128,2048,54.540066
128,4096,100.123680
128,8192,compile_error
128,16384,compile_error
128,32768,compile_error
256,16,12.383872
256,32,12.801120
256,64,14.184416
256,128,18.280640
256,256,26.672289
256,512,47.019455
256,1024,94.216736
256,2048,99.103683
256,4096,191.107330
256,8192,compile_error
256,16384,compile_error
256,32768,compile_error
512,16,14.631008
512,32,15.234240
512,64,20.786240
512,128,30.390720
512,256,44.697247
512,512,85.695709
512,1024,182.365372
512,2048,204.156357
512,4096,400.587311
512,8192,compile_error
512,16384,compile_error
512,32768,compile_error
1024,16,22.958624
1024,32,23.711679
1024,64,38.535839
1024,128,55.892033
1024,256,95.180511
1024,512,174.658630
1024,1024,373.394806
1024,2048,447.722565
1024,4096,877.511658
1024,8192,compile_error
1024,16384,compile_error
1024,32768,compile_error
2048,16,8.228960
2048,32,12.438560
2048,64,20.406208
2048,128,28.757984
2048,256,59.552513
2048,512,130.390213
2048,1024,332.437042
2048,2048,0.548544
2048,4096,0.547072
2048,8192,compile_error
2048,16384,compile_error
2048,32768,compile_error
4096,16,16.481504
4096,32,21.196096
4096,64,32.036896
4096,128,59.678688
4096,256,114.157249
4096,512,252.123459
4096,1024,652.366516
4096,2048,0.547744
4096,4096,0.552192
4096,8192,compile_error
4096,16384,compile_error
4096,32768,compile_error
8192,16,compile_error
8192,32,compile_error
8192,64,compile_error
8192,128,compile_error
8192,256,compile_error
8192,512,compile_error
8192,1024,compile_error
8192,2048,compile_error
8192,4096,compile_error
8192,8192,compile_error
8192,16384,compile_error
8192,32768,compile_error
16384,16,compile_error
16384,32,compile_error
16384,64,compile_error
16384,128,compile_error
16384,256,compile_error
16384,512,compile_error
16384,1024,compile_error
16384,2048,compile_error
16384,4096,compile_error
16384,8192,compile_error
16384,16384,compile_error
16384,32768,compile_error
32768,16,compile_error
32768,32,compile_error
32768,64,compile_error
32768,128,compile_error
32768,256,compile_error
32768,512,compile_error
32768,1024,compile_error
32768,2048,compile_error
32768,4096,compile_error
32768,8192,compile_error
32768,16384,compile_error
32768,32768,compile_error
