NX,NY,gpu_time,cpu_time
16,16,13.150400,61.004728
16,32,13.004768,139.283268
16,64,13.886208,330.899872
16,128,14.487552,615.631470
16,256,15.719936,1263.191079
16,512,19.347872,2722.168227
16,1024,27.486591,5702.649623
16,2048,19.829887,12190.184350
16,4096,31.399136,25606.341547
32,16,13.895200,136.268174
32,32,14.132608,311.385690
32,64,14.526528,709.342513
32,128,15.222592,1389.355375
32,256,17.479839,2850.480191
32,512,22.182783,6097.033783
32,1024,32.771393,12975.897661
32,2048,20.456448,27273.761857
32,4096,32.175808,57356.508282
64,16,14.035712,306.666349
64,32,14.395904,689.203644
64,64,14.852768,1545.087442
64,128,16.604864,3071.158961
64,256,18.614271,6336.510203
64,512,25.280544,13477.257348
64,1024,44.050816,28543.456600
64,2048,31.583136,60526.111908
64,4096,55.607777,125996.900219
128,16,14.518400,659.034165
128,32,15.058432,1488.002425
128,64,16.244255,3333.864493
128,128,18.190496,6531.390044
128,256,23.740896,13485.066933
128,512,37.217953,28951.134535
128,1024,66.896355,60974.974140
128,2048,57.496960,127980.509954
128,4096,103.823715,266784.098407
256,16,15.617728,1394.548564
256,32,16.453888,3176.642087
256,64,18.548639,6996.893254
256,128,24.421024,13939.866894
256,256,36.047009,28654.176146
256,512,59.267712,61222.574146
256,1024,113.255325,127322.186660
256,2048,112.874817,266335.790996
256,4096,209.568161,558715.318575
512,16,18.271936,2954.726852
512,32,19.515104,6623.789717
512,64,26.340992,14714.887667
512,128,37.142017,29384.134608
512,256,59.466110,60728.465467
512,512,106.129539,127561.076523
512,1024,209.520859,274998.830024
512,2048,222.603271,558301.888740
