NX,NY,gpu_time
16,16,11.566048
16,32,11.698272
16,64,12.085344
16,128,12.575808
16,256,13.745280
16,512,16.856224
16,1024,24.427616
16,2048,17.334400
16,4096,27.956320
32,16,12.120256
32,32,12.472320
32,64,12.741920
32,128,13.242880
32,256,14.818144
32,512,18.543392
32,1024,27.620256
32,2048,18.105312
32,4096,29.311872
64,16,12.303712
64,32,12.628192
64,64,13.063968
64,128,13.971808
64,256,15.905056
64,512,21.932320
64,1024,38.333599
64,2048,29.542624
64,4096,52.376289
128,16,12.799648
128,32,13.279904
128,64,13.885856
128,128,15.359488
128,256,19.315359
128,512,31.471552
128,1024,60.290241
128,2048,54.518368
128,4096,103.156227
256,16,12.450208
256,32,12.944736
256,64,14.269600
256,128,18.365473
256,256,26.814753
256,512,47.190975
256,1024,94.647903
256,2048,99.036064
256,4096,191.095993
512,16,14.662144
512,32,15.204896
512,64,20.830656
512,128,30.344641
512,256,44.682495
512,512,85.701569
512,1024,182.333725
512,2048,204.188736
512,4096,400.585266
1024,16,20.575392
1024,32,23.676640
1024,64,38.557793
1024,128,55.839584
1024,256,95.187553
1024,512,174.655685
1024,1024,373.146942
1024,2048,447.682007
1024,4096,877.563049
2048,16,8.193792
2048,32,12.417504
2048,64,20.376352
2048,128,28.695105
2048,256,59.513824
2048,512,130.354141
2048,1024,332.713379
2048,2048,0.547744
2048,4096,0.554656
4096,16,16.502913
4096,32,19.155424
4096,64,29.117439
4096,128,59.639648
4096,256,113.932419
4096,512,252.110748
4096,1024,652.443054
4096,2048,0.557600
4096,4096,0.550528
