NX,NY,gpu_ms,cpu_ms
16,16,2.228224,53.286067
16,32,2.180096,125.575635
16,64,2.176000,280.910829
16,128,2.198528,534.533762
16,256,2.217984,1073.540666
16,512,2.132992,2300.494374
16,1024,2.239488,4857.768645
16,2048,2.195872,10152.390146
16,4096,2.124416,21350.323145
32,16,2.180096,116.278139
32,32,2.138112,267.558657
32,64,2.157568,607.679189
32,128,2.173952,1183.011201
32,256,2.139136,2434.652575
32,512,2.539520,5455.512290
32,1024,2.437408,10844.039235
32,2048,2.176704,22632.664235
32,4096,2.199808,47295.034302
64,16,2.139136,263.213943
64,32,2.127872,592.165031
64,64,2.170880,1325.615584
64,128,2.159616,2601.740889
64,256,2.125824,5297.480159
64,512,2.131712,11278.757828
64,1024,2.452384,24761.721915
64,2048,2.383360,49364.297124
